S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
47,Mulbagal Town PS,0094/2024,20-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,20-06-2024,15:30,"MADASA NEAR ,NH 75",URBAN,TOWN,T/W,,,,,,26,,,,,,,YES,GOOD
48,Nangli PS,0077/2024,03-06-2024,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,02-06-2024,19:30,Karavireddyhalli Gate. Mulbagal- V.kote Road.,RURAL,DR,Car,CAr,,,,,,,,,41,,Yes,YES,GOOD
49,Nangli PS,0083/2024,12-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,22-05-2024,14:30,"Bevahalli Cross, Mulbagla - Punganur Road.",RURAL,SH,,Bus,,,,,56,,,,46,,Yes,Yes,No
50,Nangli PS,0086/2024,23-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-06-2024,17:30,"Halekuppa Gate, Chitoor-Bangalore Road",RURAL,NH,T/W,Car,,,,,58,,,,39,,Yes,Yes,GOOD
51,Nangli PS,0087/2024,25-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,23-06-2024,08:30,Srirangapura Gate,RURAL,NH,T/W,Car,,,,,26,,,,40,,Yes,Yes,GOOD
52,Rayalpad PS,0043/2024,01-06-2024,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,31-05-2024,07:12,Lakshmipur Cross,Rural,SH,T/W,T/W,,,,,42,,,,,,yes,yes,Good
53,Srinivasapura PS,0164/2024,03-06-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,01-06-2024,18:00,NEAR GANDLAHALLI VILLAGE SRINIVASAPURA TALUK,RURAL,VR,T/W,,55,,,,,,,,55,,YES,YES,"GOOD,"
54,Srinivasapura PS,0167/2024,04-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,04-06-2024,19:30,NEAR CHALDIGANHALLI GATE SRINIVASAPUR TALUK,RURAL,SH,T/W,TWO WHEELER,,,,,50,,,,,,,,"GOOD,"
55,Srinivasapura PS,0168/2024,05-06-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,05-06-2024,19:50,NEAR PATHABALLAPALLI GATE SRINIVASAPURA TALUK,RURAL,SH,T/W,LORRY,30,,,,35,,,,,,YES,YES,"GOOD,"
56,Srinivasapura PS,0169/2024,06-06-2024,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-06-2024,19:30,ARIKERE GATE SRINIVASAPURA TALUK,RURAL,NH,,,,,,,,,52,,,,,,"GOOD,"
57,Srinivasapura PS,0177/2024,10-06-2024,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,10-06-2024,10:15,NEAR HOSAHALLI GATE SRINIVASAPURA TALUK,RURAL,SH,T/W,CAR,35,,,,,,,,,,YES,YES,"GOOD,"
58,Srinivasapura PS,0178/2024,11-06-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,11-06-2024,14:30,NEAR YADARUR GATE SRINIVASAPURA TALUK,RURAL,NH,T/W,CAR,,,,,35,,,,,,,,"GOOD,"
59,Srinivasapura PS,0180/2024,13-06-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,13-06-2024,12:00,KALLUR LAKE SRINIVASAPURA TALUK,RURAL,NH,T/W,CAR,45,,,,,,,,,,,,"GOOD,"
60,Srinivasapura PS,0183/2024,14-06-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,13-06-2024,19:00,KALLUR VILLAGE SRINIVASAPURA TALUK,RURAL,NH,T/W, CAR,,,30,25,,,,,,,YES,YES,"GOOD,"
61,Srinivasapura PS,0198/2024,22-06-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,21-06-2024,20:45,INFRONT OF SMP TILES DALASANOOR GATE SRINIVASAPURA TALUK,RURAL,SH,T/W,TWO WHEELER,40,,,,,,,,,,YES,YES,"GOOD,"
62,Srinivasapura PS,0202/2024,23-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,21-06-2024,21:10,NEAR MULABAGILU CIRCLE SRINIVASAPURA TOWN,URBAN,SH,T/W,CAR,,,,,35,,,,,,YES,YES,"GOOD,"
63,Srinivasapura PS,0204/2024,24-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,24-06-2024,17:30,DALASANOOR GATE SRINIVASAPURA TALUK,RURAL,SH,T/W,KSRTC BUS,,,30,,,,,,,,YES,YES,"GOOD,"
64,Srinivasapura PS,0207/2024,25-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,24-06-2024,11:30,OBENAHALLI VILLAGE SRINIVASAPURA TALUK,RURAL,VR,TWO WHEELER,,,,,,37,,,,35,,YES,YES,"GOOD,"
65,Srinivasapura PS,0214/2024,29-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,29-06-2024,06:00,NEAR NATIONAL MANGO MANDI APMC YARD SRINIVASAPURA TOWN,URBAN,TOWN,,LORRY,,,,,,,30,,,,YES,YES,"GOOD,"
66,Vemagal PS,0131/2024,09-06-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,09-06-2024,15:30,SWAGATH FOOD FACTORY VEMAGAL -KOLAR ROAD,Rural,SH,T/W,BUS,"40, 40",,,,,,,,45,,Yes,Yes,Good
67,Vemagal PS,0132/2024,14-06-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13-06-2024,21:00,IN FRONT OF NAYARA PETROLE BUNK  VEMAGAL-NARSAPURA ROAD,Rural,SH,T/W,SHREE TRAVELS BUS,,,,,"40, 30",,,,25,,Yes,Yes,Good
68,Vemagal PS,0138/2024,23-06-2024,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,19-06-2024,10:50,NARASAPURA CIRCLE IN VEMAGAL ,Rural,SH,,CAR,31,,,,,,,,,,Yes,Yes,Good
69,Vemagal PS,0140/2024,25-06-2024,"IPC 1860 U/s: 279,337,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,25-06-2024,17:00,CHINTAMANI-HOSAKOTE,Rural,SH,T/W,CAR,24,,,,,,,,40,,Yes,Yes,GOOD
70,Vemagal PS,0141/2024,26-06-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Places,26-06-2024,03:00,LORRY PARKING ACCHATNAHALLI,Rural,VR,,LORRY,57,,,,,,,,45,,YES,YES,GOOD
71,Vemagal PS,0142/2024,27-06-2024,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,26-06-2024,19:45,NEAR PREMA SEVA SCHOOL ODIKRISHNAPURA,RURAL,SH,T/W,TWO WHEELER,,,26,,,,,,35,,YES,YES,GOOD
72,Vemagal PS,0143/2024,28-06-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,27-06-2024,17:50,KURUBARAHALLI GATE,RURAL,SH,T/W,TWO WHEELER,,,52,,,,,,30,,yes,yes,GOOD
1,Gownapalli PS,0044/2024,27-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,27.07.2024,20:00,"Kamatamapalli Cross,",RURAL ,SH ,T/W,UN-KNOWN,50,,,,,,,,,,NOT KNOWN,NOT KNOWN,GOOD 
2,Gownapalli PS,0045/2024,29-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,28.07.2024,15:20,Chakampalli gate,RURAL ,SH ,T/W,CAR ,,,,,28,,,,42,,YES ,YES ,GOOD 
3,Kolar Rural PS,0273/2024,06-07-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,24.06.2024,17:00,"B,PET ROAD SAHAKARA NAGARA NEAR",RURAL,SH,T/W,CAR,,,29,,,,,,,26,YES,YES,GOOD
4,Kolar Rural PS,0275/2024,09-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,02.07.2024,03:00,MUDUVADI KERE NEAR,RURAL,SH,BOLERO,LORRY,,,,,,,,,46,,YES,YES,GOOD
5,Kolar Rural PS,0282/2024,14-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),125(b),106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,14.07.2024,15:00,KALAHASTHIPURA GATE,RURAL,NH,T/W,TATA ACE,53/50,,45,,,,,,28,,YES,YES,GOOD
6,Kolar Rural PS,0285/2024,16-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.07.2024,16:30,GATTAHALLI VILLAGE,RURAL,OTHER,T/W,CAR,,,62,,,,,,45,,YES,YES,GOOD
7,Kolar Rural PS,0289/2024,19-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.07.2024,15:30,BETHANI GATE,RURAL,NH,,CAR,,,44,,,,44,,57,,YES,YES,GOOD
8,Kolar Rural PS,0296/2024,22-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,22.07.2024,09:00,ARABHIKOTHANUR GATE,RURAL,NH,,LORRY,65,,,,,30,,,46,,YES,YES,GOOD
9,Kolar Rural PS,0297/2024,23-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,21.07.2024,17:30,MARJENAHALLI NEAR,RURAL,OTHER,T/W,CAR,,,,,,28,,,30,,YES,YES,GOOD
10,Kolar Rural PS,0301/2024,26-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,25.07.2024,18:00,BELAGANAHALLI NEAR,RURAL,NH,SELF,T/W,40,,,,,,,,40,,YES,YES,GOOD
11,Kolar Rural PS,0304/2024,28-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,27.07.2024,12:15,KODIKANNUR KERE ,RURAL,SH,,,,,22,45,47,,,,33,,NO,YES,GOOD
12,Kolar Rural PS,0309/2024,31-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 17",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,31.07.2024,04:00,BELAGANAHALLI NEAR,RURAL,NH,EICHER,LORRY,,,,,,,,,34,,YES,YES,GOOD
13,Kolar Traffic PS,0056/2024,06-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-07-2024,15:40,HUNDAI SHOW ROOM.KOLAR,URBAN,NH,T/W,LORRY,,,,,24,,,,32,,YES,YES,GOOD
14,Kolar Traffic PS,0057/2024,06-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-07-2024,19:30,BANGARPET FLY OVER.KOLAR,URBAN,NH,T/W,T/W,,,,,37,,,,,,YES,YES,GOOD
15,Kolar Traffic PS,0058/2024,09-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,08-07-2024,20:20,RV SCHOOL NEAR.KOLAR,URBAN,NH,T/W,PRIVATE BUS,21,,,,,,,,47,,YES,YES,GOOD
16,Kolar Traffic PS,0059/2024,28-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,27-07-2024,19:45,CHOKKA CONVENTATIONAL HALL.KOLAR,URBAN,NH,T/W,UNKNOWN ,,,,,22,,,,,,YES,YES,GOOD
17,Kolar Traffic PS,0060/2024,28-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,28-07-2024,00:30,BANGARPET FLY OVER.KOLAR,URBAN,NH,CAR,LORRY,,,,,,,,,35,,YES,YES,GOOD
18,Kolar Traffic PS,0061/2024,29-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,29-07-2024,08:30,HOTEL GRAND  CITY HOTEL.KOLAR MALUR  ROAD.KOLaR.,URBAN,DR,T/W,KSRTC BUS,63,,,,,,,,37,,YES,YES,GOOD
19,Malur PS,0183/2024,06-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,03-07-2024,07:30,Bennagatta DN Doddi ramesh land near malur taluk,RURAL,VR,T/W,Bus,,,,,25   19,,        ,,40,,YES,YES,CLOUDY
20,Malur PS,0191/2024,12-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12-07-2024,12:15,Malur Hosur road malur town,URBAN,DR,,T/W,,,,,60,,,60,22,,YES,YES,GOOD
21,Malur PS,0195/2024,13-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 125(a),281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13-07-2024,18:10,Santhehalli near nariganahalli cross malur taluk,RURAL,VR,T/W,CAR,45,,,,32,,,,25,,YES,YES,GOOD
22,Malur PS,0196/2024,13-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,Other Places,13-07-2024,12:30,KSRTC depo malur town,URBAN,DR,,Bus,,60,,,,,,,42,,YES,YES,GOOD
23,Malur PS,0198/2024,16-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16-07-2024,09:30,prabhakar petrol bank near malur town,RURAL,DR,T/W,lorry,,,,,43,,,,32,,YES,YES,GOOD
24,Malur PS,0200/2024,22-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,21-07-2024,15:20,Harijan park factory marasandra malur taluk,RURAL,VR,T/W,GOODS TEMPO,,,,,29,,,,32,40,YES,YES,GOOD
25,Malur PS,0201/2024,22-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,27-07-2024,16:50,Kodihalli lakkur gate malur taluk,RURAL,VR,T/W,CAR,,,,,35,,,,33,,YES,YES,GOOD
26,Malur PS,0202/2024,22-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,22-07-2024,09:05,Neelakanta agrahara malur taluk,RURAL,VR,T/W,T/W,,,,,30,35,,,25,,YES,YES,GOOD
27,Malur PS,0203/2024,24-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(2),106",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12-07-2024,13:40,"Malur -Hosur Road, H Hosakote Gate",RURAL,DR,T/W,T/W,75,,,,,,,,25,,YES,YES,GOOD
28,Malur PS,0205/2024,25-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,25-07-2024,12:15,Kolar Malur road Doddakadathur Gate,RURAL,DR,T/W,lorry,38,,,,,,,,32,,YES,YES,GOOD
29,Malur PS,0206/2024,26-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,25-07-2024,19:30,Malur Tekal road Near Koduru village,RURAL,SH,T/W,lorry,,,30,,,,,,32,,YES,YES,CLOUDY
30,Malur PS,0207/2024,29-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,29-07-2024,13:35,RAILWAY BRIDGE  ANJANEYA Malur Town,URBAN,DR,T/W,lorry,23,,,,,,,,32,,YES,YES,GOOD
31,Malur PS,0208/2024,31-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,28-07-2024,19:00,Mirupamanahalli road malur taluk,RURAL,VR,,T/W,,,30,,,,30,,28,,YES,YES,CLOUDY
32,Masti PS,0128/2024,01-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 106,281 MOTOR VEHICLE ACT, 1954 U/s: 3/181",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,01-07-2024,19:30,BYRATHANHALLI ROAD,RURAL,OTHER,T/W,,35,,,,,,,,,,YES,YES,GOOD
33,Masti PS,0137/2024,19-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,19-07-2024,13:33,MASTHI PS OPPOSITE,RURAL,OTHER,T/W,BOREVEL LORRY,,,45,,,,,,,,YES,YES,GOOD
34,Mulbagal Rural PS,0163/2024,05-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,07-04-2024,10:00,Tayaluru,Rural,OTHER,T/W,Self,,,,,30,,,,,,YES,YES,Good
35,Mulbagal Rural PS,0167/2024,11-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,07-11-2024,13:30,Kantharaj circle,Rural,NH,Pedistrian,T/W,36,,,,"36, 32, 30",,,,,,YES,YES,Good
36,Mulbagal Rural PS,0174/2024,14-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,14-07-2024,21:00,Lancotoll mallappanahalli,Rural,NH,SELF,T/W,,,,,,,,,"19, 20",,YES,YES,Good
37,Mulbagal Rural PS,0175/2024,16-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,07-06-2024,07:20,Thimmaravuthanahalli,Rural,NH,Pedistrian,Car,,,,,,27,,,38,,YES,YES,Good
38,Mulbagal Rural PS,0177/2024,23-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22-07-2024,08:30,Seegenahalli Syraksha school NH 75,Rural,NH,T/W,T/W,,,,,43,,,,23,,YES,YES,Good
39,Mulbagal Rural PS,0178/2024,25-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,24-07-2024,18:50,V Guttahalli NH 75,Rural,NH,Pedistrian,Auto,65,,,,,,,,,,YES,YES,Good
40,Mulbagal Rural PS,0184/2024,30-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,29-07-2024,22:45,V Guttahalli NH 75,Rural,NH,Goods,Car,,,,,40,,,,,,YES,YES,Good
41,Mulbagal Rural PS,0185/2024,30-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,30-07-2024,04:00,kantharaj circle,Rural,NH,Car,PRAVITE BUS,45,,,,"19, 20, 18",19,,,,,YES,YES,Good
42,Mulbagal Town PS,0101/2024,05-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,04.07.2024,16:45,"NEAR Bypalli Cross, MULBAGAL TOWN ",URBAN,NH,CAR,CAR,,,,,,,,,,,YES,YES,GOOD
43,Mulbagal Town PS,0104/2024,09-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,09.07.2024,16:30,Lakshmi narasimha forn Hous?e NH -7?5 Mulbagal town,URBAN,NH,BOLERO,CONTAINER,,,,?,"45,18",,,,,,YES,YES,GOOD
44,Mulbagal Town PS,0107/2024,12-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.07.2024,10:30,"Near Kumar Gowda Hospita?l,Mulbagal town",URBAN,TOWN,SELF,T/W,,,47,,,,47,,,,YES,YES,GOOD
45,Mulbagal Town PS,0108/2024,13-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,13.07.2024,12:45,"Near V Kota cross NH 75,Mulbagal town",URBAN,NH,CAR,CAR,,,,,47,,,,,,YES,YES,GOOD
46,Mulbagal Town PS,0115/2024,22-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22.07.2024,17:30,"NEAR Bypalli Cross, MULBAGAL TOWN ",URBAN,NH,,T/W,,,,,42,,,,,,YES,YES,GOOD
47,Mulbagal Town PS,0117/2024,30-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 125(a),281",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,29.07.2024,23:00,"NEAR Narasimha teertha, MULBAGAL TOWN ",URBAN,NH,CONTAINER ,,,,,,50,,,,,,,YES,GOOD
48,Nangli PS,0096/2024,11-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,10-07-2024.,17:45,"Mudigere Gate, NH75 Road, Mulbagal Taluk",RURAL,NH,T/W,Car,,,,37,51,,,,37,,YES,YES,GOOD
49,Nangli PS,0097/2024,13-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13-07-2024,14:00,"Kasavireddyhalli Gate, K.Byapalli To Mulbagal Road.",RURAL,DR,T/W,TATA Ace,,,,,34,,,,40,,YES,YES,GOOD
50,Rayalpad PS,0050/2024,08-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,08-07-2024,22:00,Sunnakal Cross,Rural,SH ,LORRY,Self,,38,,38,2,,,,,,YES,YES,Good
51,Rayalpad PS,0055/2024,15-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14-07-2024,16:00,Mqadarankipalli Cross,Rural,SH ,TEMPO,Self,,,34,,32,,,,,,YES,YES,Good
52,Rayalpad PS,0058/2024,26-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,25-07-2024,20:45,Tupalli Cross,Rural,SH ,Unknown,UN-KNOWN,,32,,,,52,,,,,NOT KNOWN,NOT KNOWN,Good 
53,Srinivasapura PS,0220/2024,03-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,03-07-2024,15:00,NEAR MILK DIARY KALLURU VILLAGE SRINIVASAPURA TALUK,RURAL,NH,T/W,KSRTC BUS,45,,,,,,,,,,YES,YES,GOOD
54,Srinivasapura PS,0230/2024,14-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,13-07-2024,16:25,NEAR PATHAPALLI GATE  SRINIVASAPURA TALUK,RURAL,NH,T/W,CAR,,,,,24,,,,,,NOT KNOWN,NOT KNOWN,GOOD
55,Srinivasapura PS,0241/2024,22-07-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,20-07-2024,17:40,HEBBATA VILLAGE SRINIVASAPURA TALUK,RURAL,VR,T/W,SCHOOL BUS,,,,,30,,,,,,YES,YES,GOOD
